job,专业,性格,软件技能,工作内容,品质
中医学内容编辑（非中医学勿扰！）,"中医学内容编辑（非中医学勿扰！）
[中医学专业",敬畏心，工作认真负责，耐心细心，善于发现并解决问题，主动沟通,无,产出中医药健康相关优质内容，课程、图文、视频、直播等形式的原创；策划并执行中医药健康类内容等，包括内容的选题策划、课程研发、文案撰写、短视频策划、直播策划等；参与中医药医疗健康短视频内容建设，根据既定方向和标准完成优质内容供给；围绕医疗健康热点和用户需求，参与打造新媒体账号特色内容专题栏目，组织内容，维持日常运营；协助收集分析竞品内容运营动态和最新玩法案例,对医疗健康行业有敬畏心，工作认真负责，耐心细心，善于发现并解决问题，主动沟通]
医学编辑,"医学编辑
[医学相关专业",严谨、细心、耐心、责任感强,熟练office办公软件、新媒体内容排版制作、图片处理、视频处理,根据主题要求，采编输出医疗健康类科普文章；检索、阅读、整理与学习相关医学文献，制作可供专业人员学习的材料；配合主管进行文章意见交流、及时修改反馈意见，提供审稿意见等,具备一般沟通能力、理解能力、学习能力较强]
文案编辑,"文案编辑
[汉语言文学或广告学相关专业优先",有创意、有内容感、小红书重度用户、网感好,无,"独立撰写小红书图文或视频的内容输出,提炼产品卖点和用户痛点；根据合作的KOL/KOC公司提供的人设,持续输出贴合的优质笔记内容；通过输出种草和测评笔记,提升用户的进店率和转化率",无]
短篇编辑,"责编
[无",内容感觉敏锐,了解知乎或其它新媒体阅读平台短篇内容类型,"策划与制作第三方平台短篇小说, 发掘作者, 监控短篇内容质量, 维护作者资源","执行力强,有较强的服务作者和用户的意识和同理心]"
急招产品文案编辑/卖点手卡（淘宝直播）,"急招产品文案编辑/卖点手卡（淘宝直播）
[电子商务/服饰/化学/食品专业优先",具有优秀的沟通协调能力、谈判能力、抗压能力、目标感强,无,深入研究所负责产品，对产品定位/人群/设计/材质/性能/外观等进行全面竞品对比，输出有效测评报告；组织公司试样，收集真实有效的反馈，产品对应的各项数值支撑，选品过程中和主播对品清晰无差错，给予主播提供专业选品意见；各平台主动寻找潜力新品爆款反哺商务。进行竞品分析、试样选品、卖点策划、内容展示、产品选品。,寻找新渠道新资源，打造爆款产品，丰富资源库；自驱动力强，具备快速应变能力和沟通交际能力，具备独立进行业务谈判和交涉的能力，热爱工作和生活；良好的团队合作精神和高度的责任感，具备一定抗压能力和较好的心理素质。]
文案编辑,"文案编辑
[无",适应能力好、抗压能力强,无,根据项目需求进行小红书文案的撰写、审核；制定执行Brief并且参与后期的执行；能根据自己的经验提升项目的爆文率；与其他部门进行对接，协同合作完成项目需求,具备半年以上小红书文案编辑经验，了解小红书规则优先；有过乙方公司工作经验优先考虑；具体不错的文字表达能力，对文字敏感，擅长基本的文字稿件撰写，具有自媒体、个人写作经验加分;能够融入团队，有良好的沟通协作能力；适应能力好，抗压能力强。]
文案编辑,"英文文学或相关专业
热情、有创意
无
在海外平台做文案编辑发布，根据模板输出相关主题的文字内容，对自己负责的内容进行迭代，配合运营做内容调整
敏感、有创意、对星座感兴趣",无,无,无,无
短视频图片编辑,"短视频图片编辑
[无",认真负责，执行能力强，情绪稳定,剪映、美图秀秀、醒图,完成产品视频和图片的拍摄和剪辑，对素材有把控能力，沟通能力强，整理素材库,审美能力，灵活思维，团队合作精神]
文博编辑,"文博编辑
[无",热爱文博、历史,无,写出文博题材文案，协助负责人进行内容创作,对文字敏感，写作功力强，性格开朗，乐于沟通、表达]
朋友圈文案编辑,"朋友圈文案编辑
[无",细致耐心、责任心强、有较好的抗压能力、较强的执行力和沟通能力,微信、小程序有赞商城页面编辑,负责朋友圈/社群每日团购及互动内容文案输出，熟悉爆款选品策略，关注热门流行元素，配合运营项目输出吸引力较强的文案内容及demo,对内容营销有自己的见解或成功经验，有良好的文案功底和编辑能力]
智能汽车编辑,"智能汽车编辑
[无",无,无,负责智能汽车科普类稿件的资料检索与收集、负责智能汽车科普类稿件的撰写与核查、负责智能汽车科普类视频后期的项目管理,极强的责任心、极强的学习力、极强的抗压力]
小说编辑,"小说编辑
    1. 专业：无
    2. 性格：有责任心，吃苦耐劳，富有创新精神和强执行力。
    3. 软件技能：无
    4. 工作内容：分析网络文学作品流行趋势，跟进小说市场需求，挖掘符合主流市场需求的优秀作品（短篇）；了解各大小说网站平台动态，对网文的节奏和情绪点要足够熟悉，根据市场和用户的特点，针对性的对作品进行修改和调整，使之更符合市场需求；对网文有独到的见解，通过小说的各项数据反馈进行合理分析，对内容作出准确判断；负责发布收稿信息、审稿签约、维护作者资源等。
    5. 品质：热爱网文，拥有丰富的阅读量，对网文有独到的见解，能够分析判断市场走势和行业内容发展趋势。",无,无,无,无
英文网站编辑,"英文网站编辑
[无",无,办公软件、图片处理工具,从国内外新媒体和网站上搜集整理选题和素材，翻译新闻，学习编写稿件，完成网站日常更新与维护,热爱阅读与写作，英语好，笔译能力强，有兴趣了解海外跨境电商运营推广模式及方法，网感好，执行力强，具备强大的自我驱动力，善于协调沟通及统筹]
小红书图文编辑,"小红书图文编辑
[无",细心、有创意,小红书平台操作,制作小红书图文笔记,细心、有创意、良好的审美能力]
女频小说编辑（有辅导/0经验可培养）,"女频小说编辑（有辅导/0经验可培养）
[无",热爱文学、有创意,无,审核稿子、判断稿子能否签约、跟进签约作品的更新、负责小说版权的推广,创意、责任心强、良好的团队意识]
文案编辑,"文案编辑
广告、传媒等相关专业
执行力强，思路清晰
无
负责抖音、微博等平台的长短视频文案输出、热门内容研究、内容选题、创意构思、脚本写作、视频或产品宣传文案撰写
文案功底扎实，热点捕捉能力强、有数据分析能力",无,无,无,无
医学编辑,"医学编辑
[医学知识",开放的心态,无,内容生产目标制定、医学资料整理、用户画像分析、运营方法总结,学习能力、自驱力、抗压能力]
小红书文案编辑（兼职）,"小红书文案编辑（兼职）
[中文、新闻、传媒等专业",虚心好学、稳定靠谱,P图与剪辑软件、办公软件,内容创作、文案编辑、短视频剪辑,审美、创意、网感]
资深财经编辑,"资深财经编辑
[财经、文案",敏感、喜欢阅读,无,短视频账号日常选题，内容撰写和审核，数据分析、制定方案提升内容生产质量和数量,高敏感度、文案功底深厚]
小说文案编辑,"小说文案编辑
[无",喜欢小说行业，责任心强,文笔一流，了解抖音,脚本撰写，视频剪辑，账号运营,学习能力强，结果导向]
编辑实习生,"编辑实习生
[出版编辑、汉语言文学",文字功底,无,素材收集、脚本撰写制作、视频内容策划、拍摄,对儿童教育行业有兴趣]
资深编辑（公众号）,"资深编辑（公众号）
文学类",积极、有创新意识,无,内容选题策划及写作、资料搜索、专题策划、栏目频道更新,选题挖掘、策划能力、文字功底、抗压能力，严谨、认真负责
